Country,2014 Male Visitors,2014 Female Visitors,2015 Male Visitors,2015 Female Visitors,2016 Male Visitors,2016 Female Visitors,2017 Male Visitors,2017 Female Visitors,2018 Male Visitors,2018 Female Visitors,2019 Male Visitors,2019 Female Visitors,2020 Male Visitors,2020 Female Visitors
Canada,144176.0,124309.0,151343.0,129963.0,169406.0,147833.0,177783.0,157656.0,186402.0,164638.0,186837.0,165022.0,65403.0,57465.0
Argentina,4496.0,5235.0,4414.0,4937.0,5625.0,6683.0,6426.0,8449.0,6963.0,9382.0,5754.0,7090.0,1671.0,2623.0
Brazil,10505.0,9058.0,11191.0,9419.0,11517.0,9772.0,12936.0,11517.0,13741.0,12838.0,13702.0,11720.0,4035.0,4057.0
Mexico,7101.0,6877.0,7291.0,6758.0,7970.0,7719.0,8840.0,9274.0,9517.0,10392.0,10113.0,10653.0,2192.0,2388.0
Austria,19654.0,14706.0,19259.0,14411.0,19258.0,13831.0,18494.0,13338.0,19322.0,13878.0,18462.0,13870.0,5094.0,4088.0
Belgium,22539.0,14902.0,22341.0,14343.0,23345.0,14615.0,25351.0,16551.0,26275.0,17811.0,23872.0,15391.0,6655.0,4367.0
Denmark,15289.0,11486.0,14251.0,9822.0,14509.0,10208.0,15735.0,11026.0,16015.0,12180.0,15339.0,11153.0,4380.0,3872.0
Finland,10321.0,8444.0,9862.0,8267.0,10012.0,8359.0,10926.0,9458.0,11193.0,10046.0,10363.0,8582.0,2451.0,1859.0
France,133141.0,112960.0,125815.0,105039.0,130334.0,108373.0,134795.0,114825.0,140246.0,121407.0,132272.0,114966.0,37292.0,36951.0
Germany,144181.0,94925.0,149733.0,98581.0,157695.0,108233.0,160281.0,109099.0,161437.0,112650.0,154744.0,110229.0,41126.0,31432.0
Greece,5436.0,2864.0,5434.0,2653.0,5809.0,3239.0,6100.0,4186.0,6234.0,4422.0,6190.0,4127.0,1802.0,1052.0
Ireland,15793.0,13185.0,17739.0,15234.0,19568.0,16872.0,20478.0,17515.0,21170.0,18106.0,22404.0,18779.0,5323.0,4385.0
Italy,57976.0,33613.0,57083.0,31008.0,61353.0,34064.0,69611.0,42304.0,77301.0,49630.0,77915.0,50657.0,18266.0,12920.0
Netherlands,41597.0,26150.0,40966.0,25215.0,43751.0,28089.0,46528.0,30124.0,48887.0,32728.0,48348.0,31965.0,14518.0,11740.0
Norway,10869.0,8821.0,11064.0,8693.0,11021.0,9127.0,11339.0,9543.0,12085.0,10546.0,11737.0,10161.0,3172.0,3052.0
Portugal,23791.0,12365.0,29402.0,15214.0,35494.0,18945.0,43345.0,23033.0,47824.0,26668.0,47761.0,26982.0,20578.0,10427.0
Spain,35956.0,30507.0,36000.0,29694.0,40461.0,35881.0,42920.0,38522.0,44034.0,40322.0,43494.0,39828.0,8945.0,7390.0
Sweden,24676.0,20272.0,23700.0,18926.0,24378.0,19311.0,25447.0,20404.0,25755.0,20988.0,23613.0,18705.0,6293.0,5699.0
Switzerland,24946.0,20827.0,25060.0,21091.0,26035.0,22088.0,26689.0,22918.0,26042.0,23280.0,25146.0,21680.0,6563.0,6112.0
Czech Rep.,6302.0,3576.0,7322.0,4119.0,8173.0,4759.0,7099.0,4753.0,7981.0,5432.0,7761.0,5529.0,2037.0,1570.0
Hungary,2726.0,4141.0,0.0,0.0,4211.0,3750.0,4657.0,4584.0,4693.0,4508.0,5002.0,4786.0,1425.0,1539.0
